Curte games?,Curte futebol?,Curte livros?,Curte jogos de tabuleiro?,Curte jogos de fórmula 1?,Curte jogos de MMA?,Idade,Estado que mora atualmente,Área de Formação,Tempo que atua na área de dados,Posição da cadeira (senioridade),Você se considera uma pessoa feliz?
Sim,Sim,Sim,Sim,Sim,Não,24,CE,Exatas,De 1 ano a 2 anos,Júnior,Sim
Sim,Sim,Sim,Sim,Não,Não,33,SP,Exatas,Mais de 4 anos,Especialista,Sim
Sim,Não,Não,Sim,Sim,Não,26,SP,Humanas,De 0 a 6 meses,Iniciante,Sim
Não,Não,Sim,Sim,Sim,Não,31,PR,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,33,SP,Exatas,De 6 meses a 1 ano,Júnior,Sim
Sim,Sim,Sim,Sim,Não,Sim,23,SP,Exatas,Não atuo,Júnior,Sim
Não,Sim,Sim,Não,Sim,Não,42,SP,Exatas,Não atuo,C-Level,Sim
Sim,Não,Sim,Sim,Não,Sim,26,PE,Exatas,De 0 a 6 meses,Iniciante,Não
Sim,Sim,Sim,Não,Não,Não,18,SP,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Não,25,CE,Exatas,Não atuo,Júnior,Sim
Sim,Sim,Não,Sim,Não,Não,33,MG,Exatas,De 1 ano a 2 anos,Pleno,Não
Não,Não,Sim,Sim,Não,Não,31,SP,Exatas,De 0 a 6 meses,Júnior,Sim
Sim,Sim,Sim,Sim,Sim,Sim,31,PE,Exatas,de 2 anos a 4 anos,Júnior,Sim
Sim,Não,Sim,Sim,Sim,Não,30,RS,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,28,PR,Exatas,De 6 meses a 1 ano,Júnior,Sim
Sim,Não,Sim,Sim,Sim,Sim,39,RJ,Exatas,De 6 meses a 1 ano,Pleno,Sim
Sim,Não,Sim,Sim,Não,Sim,36,MG,Exatas,Mais de 4 anos,Pleno,Não
Sim,Sim,Sim,Não,Não,Não,35,CE,Humanas,Mais de 4 anos,Pleno,Sim
Não,Não,Sim,Não,Não,Não,32,SP,Exatas,de 2 anos a 4 anos,Especialista,Não
Sim,Não,Sim,Sim,Não,Não,28,BA,Exatas,De 0 a 6 meses,Júnior,Sim
Sim,Sim,Não,Não,Sim,Não,27,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Sim,Sim,Sim,Sim,Não,28,BA,Exatas,Não atuo,Júnior,Sim
Sim,Não,Sim,Não,Sim,Não,36,RS,Biológicas,Não atuo,Iniciante,Sim
Não,Não,Não,Sim,Sim,Não,23,SP,Humanas,De 0 a 6 meses,Iniciante,Não
Sim,Sim,Sim,Sim,Sim,Sim,39,MG,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Sim,20,RJ,Exatas,De 6 meses a 1 ano,Iniciante,Sim
Sim,Sim,Não,Sim,Sim,Não,33,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Não,Sim,Sim,Não,Não,39,RJ,Exatas,Mais de 4 anos,Sênior,Sim
Sim,Não,Sim,Sim,Sim,Sim,25,SP,Exatas,Mais de 4 anos,Sênior,Sim
Não,Não,Sim,Sim,Não,Não,45,SP,Exatas,Não atuo,Pleno,Sim
Sim,Não,Sim,Sim,Não,Não,32,SP,Exatas,Mais de 4 anos,C-Level,Não
Sim,Sim,Sim,Não,Não,Não,21,RS,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Sim,Sim,Sim,Não,Sim,18,PR,Exatas,De 0 a 6 meses,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Não,26,ES,Exatas,Não atuo,Iniciante,Não
Sim,Sim,Sim,Sim,Sim,Não,18,SP,Exatas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Não,34,RS,Exatas,Não atuo,Iniciante,Não
Sim,Sim,Sim,Não,Sim,Sim,23,PE,Exatas,Não atuo,Iniciante,Sim
Sim,Não,Sim,Sim,Sim,Não,39,SP,Exatas,De 1 ano a 2 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Sim,Não,30,SP,Exatas,de 2 anos a 4 anos,Sênior,Sim
Sim,Não,Sim,Sim,Sim,Sim,26,RJ,Exatas,De 6 meses a 1 ano,Júnior,Sim
Sim,Não,Sim,Sim,Não,Sim,35,PR,Biológicas,Não atuo,Iniciante,Sim
Sim,Sim,Sim,Sim,Sim,Não,39,SP,Exatas,Mais de 4 anos,Pleno,Sim
Sim,Sim,Sim,Sim,Não,Não,18,BA,Exatas,De 6 meses a 1 ano,Iniciante,Sim
Sim,Não,Sim,Sim,Não,Sim,23,SP,Exatas,De 6 meses a 1 ano,Júnior,Sim
Sim,Não,Sim,Sim,Não,Não,27,SP,Humanas,De 0 a 6 meses,Iniciante,Não
Sim,Sim,Não,Sim,Sim,Não,36,SP,Exatas,Não atuo,Pleno,Não
Sim,Sim,Sim,Não,Sim,Não,33,SC,Humanas,de 2 anos a 4 anos,Júnior,Sim
Sim,Sim,Sim,Sim,Sim,Sim,32,PR,Biológicas,Mais de 4 anos,Sênior,Sim
Sim,Sim,Sim,Sim,Não,Não,39,SP,Exatas,Não atuo,Iniciante,Não
Sim,Não,Sim,Não,Não,Não,25,SP,Exatas,De 1 ano a 2 anos,Pleno,Não
Sim,Não,Sim,Sim,Não,Não,43,MG,Exatas,Não atuo,Especialista,Sim
